"","Tcs","Rc_thresholds","Rh_thresholds","first_Tc_reach_days","MAE"
"result.579",8,-145,160,0,3.73
"result.580",9,-145,160,0,2.55
"result.581",5,-150,160,0,32.4
"result.582",6,-150,160,0,7.09
"result.583",7,-150,160,0,6.64
"result.584",8,-150,160,0,3.45
"result.585",9,-150,160,0,2.45
"result.586",5,-90,165,0,15.73
"result.587",6,-90,165,0,15.27
"result.588",7,-90,165,0,12.09
"result.589",8,-90,165,0,7
"result.590",9,-90,165,0,6.64
"result.591",5,-95,165,0,13.55
"result.592",6,-95,165,0,13.91
"result.593",7,-95,165,0,11.09
"result.594",8,-95,165,0,6.36
"result.595",9,-95,165,0,6.36
"result.596",5,-100,165,0,12.18
"result.597",6,-100,165,0,13.64
"result.598",7,-100,165,0,10.55
"result.599",8,-100,165,0,6.18
"result.600",9,-100,165,0,3.55
"result.601",5,-105,165,0,10.82
"result.602",6,-105,165,0,13
"result.603",7,-105,165,0,10.27
"result.604",8,-105,165,0,5.91
"result.605",9,-105,165,0,3
"result.606",5,-110,165,0,10
"result.607",6,-110,165,0,12.64
"result.608",7,-110,165,0,9.73
"result.609",8,-110,165,0,5.64
"result.610",9,-110,165,0,2.82
"result.611",5,-115,165,0,9.64
"result.612",6,-115,165,0,11.55
"result.613",7,-115,165,0,8.91
"result.614",8,-115,165,0,5
"result.615",9,-115,165,0,2.91
"result.616",5,-120,165,0,9.18
"result.617",6,-120,165,0,10.91
"result.618",7,-120,165,0,8.27
"result.619",8,-120,165,0,4.55
"result.620",9,-120,165,0,2.82
"result.621",5,-125,165,0,10.27
"result.622",6,-125,165,0,9.64
"result.623",7,-125,165,0,7.91
"result.624",8,-125,165,0,4.27
"result.625",9,-125,165,0,3
"result.626",5,-130,165,0,30.73
"result.627",6,-130,165,0,8.45
"result.628",7,-130,165,0,7.45
"result.629",8,-130,165,0,3.73
"result.630",9,-130,165,0,2.82
"result.631",5,-135,165,0,8.9
"result.632",6,-135,165,0,7.64
"result.633",7,-135,165,0,7.36
"result.634",8,-135,165,0,3.73
"result.635",9,-135,165,0,2.91
"result.636",5,-140,165,0,9.3
"result.637",6,-140,165,0,7
"result.638",7,-140,165,0,6.82
"result.639",8,-140,165,0,3.18
"result.640",9,-140,165,0,3.18
"result.641",5,-145,165,0,13.8
"result.642",6,-145,165,0,6.55
"result.643",7,-145,165,0,6.36
"result.644",8,-145,165,0,2.82
"result.645",9,-145,165,0,3
"result.646",5,-150,165,0,32.3
"result.647",6,-150,165,0,6.45
"result.648",7,-150,165,0,5.91
"result.649",8,-150,165,0,2.82
"result.650",9,-150,165,0,3.09
"result.651",5,-90,170,0,15.27
"result.652",6,-90,170,0,14.27
"result.653",7,-90,170,0,10.91
"result.654",8,-90,170,0,5.82
"result.655",9,-90,170,0,5.73
"result.656",5,-95,170,0,12.45
"result.657",6,-95,170,0,13
"result.658",7,-95,170,0,9.91
"result.659",8,-95,170,0,5.27
"result.660",9,-95,170,0,5.55
"result.661",5,-100,170,0,11.27
"result.662",6,-100,170,0,12.64
"result.663",7,-100,170,0,9.36
"result.664",8,-100,170,0,5.09
"result.665",9,-100,170,0,3.27
"result.666",5,-105,170,0,9.82
"result.667",6,-105,170,0,12.27
"result.668",7,-105,170,0,9.09
"result.669",8,-105,170,0,4.73
"result.670",9,-105,170,0,2.82
"result.671",5,-110,170,0,9.36
"result.672",6,-110,170,0,11.64
"result.673",7,-110,170,0,8.91
"result.674",8,-110,170,0,4.36
"result.675",9,-110,170,0,2.91
"result.676",5,-115,170,0,9
"result.677",6,-115,170,0,11
"result.678",7,-115,170,0,8
"result.679",8,-115,170,0,4.18
"result.680",9,-115,170,0,3
"result.681",5,-120,170,0,8.73
"result.682",6,-120,170,0,10.09
"result.683",7,-120,170,0,7.55
"result.684",8,-120,170,0,3.73
"result.685",9,-120,170,0,3
"result.686",5,-125,170,0,9.82
"result.687",6,-125,170,0,8.55
"result.688",7,-125,170,0,7.27
"result.689",8,-125,170,0,3.64
"result.690",9,-125,170,0,3.27
"result.691",5,-130,170,0,30.27
"result.692",6,-130,170,0,7.55
"result.693",7,-130,170,0,6.82
"result.694",8,-130,170,0,3.18
"result.695",9,-130,170,0,3.27
"result.696",5,-135,170,0,8.4
"result.697",6,-135,170,0,6.55
"result.698",7,-135,170,0,6.45
"result.699",8,-135,170,0,3.18
"result.700",9,-135,170,0,3.36
"result.701",5,-140,170,0,9.4
"result.702",6,-140,170,0,6.27
"result.703",7,-140,170,0,5.91
"result.704",8,-140,170,0,2.82
"result.705",9,-140,170,0,3.55
"result.706",5,-145,170,0,13.6
"result.707",6,-145,170,0,6.09
"result.708",7,-145,170,0,5.64
"result.709",8,-145,170,0,2.27
"result.710",9,-145,170,0,3.55
"result.711",5,-150,170,0,31.9
"result.712",6,-150,170,0,5.82
"result.713",7,-150,170,0,4.91
"result.714",8,-150,170,0,2.18
"result.715",9,-150,170,0,3.55
"result.716",5,-90,175,0,14.18
"result.717",6,-90,175,0,13.18
"result.718",7,-90,175,0,9.91
"result.719",8,-90,175,0,4.73
"result.720",9,-90,175,0,5.82
"result.721",5,-95,175,0,11.73
"result.722",6,-95,175,0,12.18
"result.723",7,-95,175,0,8.91
"result.724",8,-95,175,0,4.45
"result.725",9,-95,175,0,5.73
"result.726",5,-100,175,0,10.55
"result.727",6,-100,175,0,11.91
"result.728",7,-100,175,0,8.55
"result.729",8,-100,175,0,4.36
"result.730",9,-100,175,0,3.82
"result.731",5,-105,175,0,9.27
"result.732",6,-105,175,0,11.55
"result.733",7,-105,175,0,8.27
"result.734",8,-105,175,0,4
"result.735",9,-105,175,0,3.55
"result.736",5,-110,175,0,8.64
"result.737",6,-110,175,0,10.91
"result.738",7,-110,175,0,8
"result.739",8,-110,175,0,3.82
"result.740",9,-110,175,0,3.55
"result.741",5,-115,175,0,8.64
"result.742",6,-115,175,0,9.73
"result.743",7,-115,175,0,7.36
"result.744",8,-115,175,0,3.18
"result.745",9,-115,175,0,3.55
"result.746",5,-120,175,0,8
"result.747",6,-120,175,0,9.18
"result.748",7,-120,175,0,6.73
"result.749",8,-120,175,0,3.09
"result.750",9,-120,175,0,3.55
"result.751",5,-125,175,0,9.18
"result.752",6,-125,175,0,7.36
"result.753",7,-125,175,0,6.36
"result.754",8,-125,175,0,3.09
"result.755",9,-125,175,0,3.64
"result.756",5,-130,175,0,30
"result.757",6,-130,175,0,6.09
"result.758",7,-130,175,0,5.73
"result.759",8,-130,175,0,2.91
"result.760",9,-130,175,0,3.55
"result.761",5,-135,175,0,7.9
"result.762",6,-135,175,0,5.73
"result.763",7,-135,175,0,5.55
"result.764",8,-135,175,0,2.82
"result.765",9,-135,175,0,3.73
"result.766",5,-140,175,0,9.1
"result.767",6,-140,175,0,5.55
"result.768",7,-140,175,0,5
"result.769",8,-140,175,0,2.55
"result.770",9,-140,175,0,3.82
"result.771",5,-145,175,0,13.4
"result.772",6,-145,175,0,5.36
"result.773",7,-145,175,0,4.64
"result.774",8,-145,175,0,2.18
