"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,75,20,20,27,0.304,0.935,0.128
"dart",0.01,75,20,20,6,0.642,0.908,0.404
"gbdt",0.01,75,20,20,6,0.642,0.9,0.404
"dart",0.001,75,20,20,6,0.671,0.912,0.404
"gbdt",0.001,75,20,20,6,0.673,0.905,0.404
"dart",0.1,250,20,20,18,0.357,0.933,0.128
"gbdt",0.1,250,20,20,16,0.34,0.929,0.124
"dart",0.01,250,20,20,6,0.642,0.904,0.404
"gbdt",0.01,250,20,20,6,0.641,0.909,0.404
"dart",0.001,250,20,20,6,0.672,0.907,0.404
"gbdt",0.001,250,20,20,6,0.672,0.906,0.404
"dart",0.1,255,40,20,18,0.357,0.928,0.127
"gbdt",0.1,255,40,20,22,0.323,0.927,0.131
"dart",0.01,255,40,20,6,0.64,0.906,0.404
"gbdt",0.01,255,40,20,6,0.64,0.915,0.404
"dart",0.001,255,40,20,6,0.671,0.906,0.404
"gbdt",0.001,255,40,20,6,0.671,0.899,0.404
"dart",0.1,25,40,20,18,0.354,0.929,0.128
"gbdt",0.1,25,40,20,11,0.372,0.929,0.128
"dart",0.01,25,40,20,6,0.64,0.899,0.404
"gbdt",0.01,25,40,20,6,0.639,0.907,0.404
"dart",0.001,25,40,20,6,0.671,0.898,0.404
"gbdt",0.001,25,40,20,6,0.671,0.88,0.404
"dart",0.1,15,40,20,18,0.363,0.923,0.131
"gbdt",0.1,15,40,20,17,0.341,0.923,0.131
"dart",0.01,15,40,20,6,0.641,0.9,0.404
"gbdt",0.01,15,40,20,6,0.641,0.898,0.404
"dart",0.001,15,40,20,6,0.671,0.899,0.404
"gbdt",0.001,15,40,20,6,0.672,0.9,0.404
"dart",0.1,125,40,20,18,0.357,0.93,0.13
"gbdt",0.1,125,40,20,13,0.359,0.926,0.137
"dart",0.01,125,40,20,6,0.64,0.903,0.404
"gbdt",0.01,125,40,20,6,0.641,0.901,0.404
"dart",0.001,125,40,20,6,0.671,0.899,0.404
"gbdt",0.001,125,40,20,6,0.671,0.881,0.404
"dart",0.1,75,40,20,18,0.355,0.928,0.125
"gbdt",0.1,75,40,20,26,0.314,0.928,0.13
"dart",0.01,75,40,20,6,0.64,0.906,0.404
"gbdt",0.01,75,40,20,6,0.641,0.896,0.404
"dart",0.001,75,40,20,6,0.671,0.897,0.404
"gbdt",0.001,75,40,20,6,0.673,0.9,0.404
"dart",0.1,250,40,20,15,0.372,0.925,0.14
"gbdt",0.1,250,40,20,19,0.328,0.926,0.127
"dart",0.01,250,40,20,6,0.64,0.892,0.404
"gbdt",0.01,250,40,20,6,0.641,0.901,0.404
"dart",0.001,250,40,20,6,0.672,0.896,0.404
"gbdt",0.001,250,40,20,6,0.671,0.903,0.404
