"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.001,25,51,15,6,0.673,0.848,0.408
"dart",1e-04,25,51,15,999,0.673,0.823,0.261
"gbdt",1e-04,25,51,15,6,0.678,0.809,0.408
"dart",0.1,255,71,15,33,0.408,0.894,0.159
"gbdt",0.1,255,71,15,6,0.487,0.86,0.191
"dart",0.01,255,71,15,624,0.466,0.866,0.208
"gbdt",0.01,255,71,15,6,0.646,0.861,0.408
"dart",0.001,255,71,15,999,0.576,0.845,0.205
"gbdt",0.001,255,71,15,6,0.676,0.791,0.408
"dart",1e-04,255,71,15,999,0.674,0.828,0.261
"gbdt",1e-04,255,71,15,6,0.679,0.823,0.408
"dart",0.1,300,71,15,38,0.446,0.878,0.208
"gbdt",0.1,300,71,15,6,0.499,0.856,0.205
"dart",0.01,300,71,15,639,0.422,0.887,0.181
"gbdt",0.01,300,71,15,6,0.647,0.844,0.408
"dart",0.001,300,71,15,999,0.578,0.848,0.216
"gbdt",0.001,300,71,15,6,0.674,0.812,0.408
"dart",1e-04,300,71,15,999,0.674,0.838,0.239
"gbdt",1e-04,300,71,15,6,0.679,0.82,0.408
"dart",0.1,125,71,15,32,0.446,0.88,0.209
"gbdt",0.1,125,71,15,6,0.492,0.855,0.212
"dart",0.01,125,71,15,690,0.423,0.866,0.177
"gbdt",0.01,125,71,15,6,0.645,0.84,0.408
"dart",0.001,125,71,15,999,0.578,0.829,0.212
"gbdt",0.001,125,71,15,6,0.674,0.838,0.408
"dart",1e-04,125,71,15,999,0.673,0.85,0.242
"gbdt",1e-04,125,71,15,6,0.677,0.824,0.408
"dart",0.1,75,71,15,23,0.446,0.843,0.195
"gbdt",0.1,75,71,15,15,0.449,0.872,0.2
"dart",0.01,75,71,15,783,0.432,0.878,0.184
"gbdt",0.01,75,71,15,6,0.647,0.851,0.408
"dart",0.001,75,71,15,999,0.585,0.837,0.222
"gbdt",0.001,75,71,15,6,0.674,0.839,0.408
"dart",1e-04,75,71,15,999,0.674,0.824,0.244
"gbdt",1e-04,75,71,15,6,0.677,0.784,0.408
"dart",0.1,25,71,15,16,0.438,0.86,0.192
"gbdt",0.1,25,71,15,17,0.43,0.884,0.2
"dart",0.01,25,71,15,642,0.438,0.86,0.18
"gbdt",0.01,25,71,15,6,0.644,0.864,0.408
"dart",0.001,25,71,15,999,0.567,0.852,0.191
"gbdt",0.001,25,71,15,6,0.675,0.825,0.408
"dart",1e-04,25,71,15,999,0.674,0.852,0.214
"gbdt",1e-04,25,71,15,6,0.676,0.824,0.408
"dart",0.1,255,31,10,66,0.375,0.904,0.174
"gbdt",0.1,255,31,10,22,0.397,0.897,0.181
"dart",0.01,255,31,10,960,0.411,0.892,0.18
"gbdt",0.01,255,31,10,6,0.646,0.832,0.408
"dart",0.001,255,31,10,999,0.57,0.885,0.181
"gbdt",0.001,255,31,10,6,0.676,0.807,0.408
"dart",1e-04,255,31,10,999,0.674,0.858,0.313
"gbdt",1e-04,255,31,10,6,0.68,0.862,0.408
"dart",0.1,300,31,10,92,0.389,0.904,0.177
"gbdt",0.1,300,31,10,13,0.409,0.895,0.178
"dart",0.01,300,31,10,933,0.402,0.897,0.173
"gbdt",0.01,300,31,10,6,0.646,0.861,0.408
"dart",0.001,300,31,10,999,0.578,0.832,0.197
"gbdt",0.001,300,31,10,6,0.673,0.866,0.408
"dart",1e-04,300,31,10,999,0.674,0.823,0.353
"gbdt",1e-04,300,31,10,6,0.679,0.814,0.408
"dart",0.1,125,31,10,50,0.398,0.904,0.172
"gbdt",0.1,125,31,10,20,0.38,0.901,0.159
"dart",0.01,125,31,10,729,0.411,0.898,0.194
"gbdt",0.01,125,31,10,6,0.646,0.853,0.408
"dart",0.001,125,31,10,999,0.578,0.859,0.195
"gbdt",0.001,125,31,10,6,0.675,0.841,0.408
"dart",1e-04,125,31,10,999,0.673,0.851,0.32
"gbdt",1e-04,125,31,10,6,0.676,0.821,0.408
"dart",0.1,75,31,10,36,0.405,0.894,0.18
"gbdt",0.1,75,31,10,13,0.412,0.892,0.186
"dart",0.01,75,31,10,840,0.379,0.905,0.161
"gbdt",0.01,75,31,10,6,0.645,0.831,0.408
"dart",0.001,75,31,10,999,0.571,0.866,0.178
"gbdt",0.001,75,31,10,6,0.673,0.842,0.408
"dart",1e-04,75,31,10,999,0.673,0.85,0.327
"gbdt",1e-04,75,31,10,6,0.676,0.821,0.408
"dart",0.1,25,31,10,54,0.375,0.908,0.177
"gbdt",0.1,25,31,10,16,0.398,0.895,0.174
"dart",0.01,25,31,10,935,0.402,0.898,0.185
"gbdt",0.01,25,31,10,6,0.648,0.848,0.408
"dart",0.001,25,31,10,999,0.573,0.867,0.191
"gbdt",0.001,25,31,10,6,0.675,0.844,0.408
"dart",1e-04,25,31,10,999,0.674,0.85,0.323
"gbdt",1e-04,25,31,10,6,0.677,0.859,0.408
"dart",0.1,255,51,10,53,0.425,0.883,0.181
"gbdt",0.1,255,51,10,7,0.477,0.853,0.203
"dart",0.01,255,51,10,661,0.431,0.876,0.189
"gbdt",0.01,255,51,10,6,0.645,0.859,0.408
"dart",0.001,255,51,10,999,0.581,0.837,0.211
"gbdt",0.001,255,51,10,6,0.674,0.837,0.408
"dart",1e-04,255,51,10,999,0.674,0.819,0.289
"gbdt",1e-04,255,51,10,6,0.678,0.826,0.408
"dart",0.1,300,51,10,33,0.426,0.868,0.178
"gbdt",0.1,300,51,10,15,0.401,0.895,0.176
"dart",0.01,300,51,10,961,0.413,0.896,0.183
"gbdt",0.01,300,51,10,6,0.647,0.83,0.408
"dart",0.001,300,51,10,996,0.571,0.838,0.181
"gbdt",0.001,300,51,10,6,0.677,0.836,0.408
"dart",1e-04,300,51,10,999,0.674,0.835,0.277
