id,latitude,longitude,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
GME00122878,53.8431,13.6856,9,,ANKLAM,,,TMAX,2004,2022
GME00122890,49.7667,11.3075,443,,GOSSWEINSTEIN,,,PRCP,1931,2022
GME00122902,51.5017,9.9528,167,,GOTTINGEN,,,TMAX,1927,2022
GME00122938,49.665,11.2253,506,,GRAFENBERG-KASBERG,,,TMAX,1991,2022
GME00122962,48.7903,13.6306,628,,GRAINET-REHBERG,,,TMAX,1957,2022
GME00122974,53.5744,10.6806,27,,GRAMBEK,,,TMAX,1951,2022
GME00123058,54.0731,12.3256,34,,GROSS LUSEWITZ,,,TMAX,1967,2022
GME00123094,47.9417,11.9014,517,,FELDKIRCHEN-WESTERHAM-LENZMUHL,,,PRCP,1959,2022
GME00123130,50.2675,9.1889,258,,GRUNDAU-BREITENBORN,,,TMAX,1995,2022
GME00123142,53.3167,13.9358,56,,GRUNOW,,,TMAX,1973,2022
GME00123178,51.8889,8.3553,72,,GUTERSLOH,,,PRCP,1938,2022
GME00123190,49.9706,9.9125,220,,ARNSTEIN-MUDESHEIM,,,TMAX,1986,2022
GME00123226,49.9325,6.3756,305,,OLSDORF,,,TMAX,1952,2022
GME00123274,53.4792,9.8983,3,,HAMBURG-NEUWIEDENTHAL,,,TMAX,1962,2022
GME00123310,51.3756,11.2931,164,,ARTERN,,,TMAX,1954,2022
GME00123370,52.7214,10.6,108,,HANKENSBUTTEL,,,PRCP,1961,2022
GME00123382,48.7928,10.7075,502,,HARBURG,,,TMAX,1998,2022
GME00123394,49.9789,9.1125,110,,ASCHAFFENBURG,,,PRCP,1941,2022
GME00123418,51.6531,11.1375,404,,HARZGERODE,,,TMAX,1945,2022
GME00123466,48.3758,8.9808,522,,HECHINGEN,,,TMAX,1947,2022
GME00123538,48.6731,10.1331,500,,HEIDENHEIM/BRENZ,,,PRCP,1931,2022
GME00123574,51.0425,6.1044,57,,HEINSBERG-SCHLEIDEN,,,TMAX,1963,2022
GME00123586,50.5808,8.4692,200,,ASSLAR KLEIN-ALTENSTADTEN,,,PRCP,1981,2022
GME00123646,48.5928,8.8553,430,,HERRENBERG,,,PRCP,1978,2022
GME00123694,50.8531,9.7383,272,,BAD HERSFELD,,,TMAX,1949,2022
